City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,ndele,8.4109,20.6473,22.17,50,32,1.83,CF,1731559409
274,machico,32.7,-16.7667,18.35,55,75,5.66,PT,1731559334
275,ashland,40.8167,-82.2665,10.45,68,100,4.27,US,1731559411
276,castillos,-34.1667,-53.8333,9.75,88,46,1.42,UY,1731559412
277,tofol,5.3248,163.0078,28.88,74,100,2.57,FM,1731559413
278,enoch,37.7733,-113.0244,4.14,52,0,1.54,US,1731559414
279,nuuk,64.1835,-51.7216,-3.66,86,100,9.77,GL,1731559274
280,antonio enes,-16.2325,39.9086,28.13,71,47,3.35,MZ,1731559417
281,puerto el triunfo,13.2833,-88.55,24.68,91,100,2.2,SV,1731559418
282,veinticinco de mayo,-35.4323,-60.1727,17.21,69,55,0.45,AR,1731559419
283,reggane,26.7158,0.1714,20.37,31,0,6.44,DZ,1731559420
284,corner brook,48.9667,-57.9484,-0.68,71,100,6.19,CA,1731559328
285,san luis de la loma,17.2706,-100.8939,25.34,86,53,1.57,MX,1731559422
286,addanki,15.8167,79.9833,28.27,76,74,5.17,IN,1731559423
287,kosh-agach,50.0,88.6667,-9.41,55,66,8.12,RU,1731559424
288,greater sudbury,46.49,-80.99,1.14,74,100,2.24,CA,1731559426
289,tual,-5.6667,132.75,28.83,68,100,2.75,ID,1731559427
290,buxar,25.5833,83.9833,28.33,32,0,1.93,IN,1731559428
291,peniche,39.3558,-9.3811,10.11,90,25,8.79,PT,1731559430
292,fuyuan,46.4333,127.0833,9.26,73,24,4.37,CN,1731559431
293,bugene,-1.5911,31.1403,18.36,68,73,0.36,TZ,1731559432
294,kirensk,57.7853,108.1119,-9.71,80,93,2.36,RU,1731559433
295,bac lieu,9.285,105.7244,29.88,67,97,5.14,VN,1731559435
296,okoneshnikovo,54.8377,75.0834,-16.9,94,63,2.81,RU,1731559436
297,taitung city,22.7583,121.1444,26.15,83,75,1.03,TW,1731559437
298,puerto san jose,13.9256,-90.8244,25.18,92,100,3.03,GT,1731559438
299,puerto baquerizo moreno,-0.9,-89.6,21.2,73,68,3.46,EC,1731559439
300,tsaratanana,-16.7833,47.65,29.31,46,0,0.99,MG,1731559440
301,matthew town,20.95,-73.6667,26.54,82,54,7.71,BS,1731559442
302,bandundu,-3.3167,17.3667,23.05,95,100,0.59,CD,1731559443
303,toliara,-23.35,43.6667,27.05,64,5,5.52,MG,1731559445
304,looe,50.3578,-4.4542,9.51,73,100,2.81,GB,1731559446
305,naliya,23.2667,68.8333,29.7,34,1,2.59,IN,1731559447
306,san fernando de apure,7.8878,-67.4724,25.22,75,100,1.77,VE,1731559448
307,qaqortoq,60.7167,-46.0333,-10.58,71,67,5.05,GL,1731559449
308,necochea,-38.5473,-58.7368,13.95,60,96,3.68,AR,1731559390
309,erie,42.7667,-78.6664,5.88,50,100,1.79,US,1731559453
310,carboneras,37.0015,-1.9213,17.06,74,100,4.58,ES,1731559454
311,minas de marcona,-15.2119,-75.1103,13.77,88,66,2.56,PE,1731559455
312,badiyah,22.45,58.8,26.3,44,0,1.93,OM,1731559456
313,maceio,-9.6658,-35.7353,22.69,88,20,2.06,BR,1731559299
314,saipan,15.1355,145.701,31.39,78,0,6.69,MP,1731559458
315,sungai raya,0.7,108.9,29.36,72,89,2.02,ID,1731559459
316,new norfolk,-42.7826,147.0587,18.73,36,4,4.5,AU,1731559460
317,naze,28.3667,129.4833,24.51,77,100,2.55,JP,1731559462
318,puerto aysen,-45.4,-72.7,10.01,99,86,1.32,CL,1731559305
319,colonia,50.9333,6.95,9.51,93,75,2.57,DE,1731559464
320,micheweni,-4.9667,39.8333,27.05,82,15,1.26,TZ,1731559465
321,sola,-13.8833,167.55,27.42,74,100,3.23,VU,1731559466
322,acapulco de juarez,16.8634,-99.8901,27.9,83,75,1.54,MX,1731559467
323,sodra sandby,56.5667,16.6167,7.72,95,91,3.61,SE,1731559468
324,baiti,13.745,-14.7482,22.47,39,25,3.14,SN,1731559469
325,kirkwall,58.9848,-2.9587,9.42,76,75,5.14,GB,1731559470
326,cullowhee,35.3137,-83.1765,8.99,65,100,4.63,US,1731559472
327,san julian,21.0167,-102.1667,15.29,38,76,3.15,MX,1731559473
328,talcahuano,-36.7167,-73.1167,12.82,88,0,2.06,CL,1731559474
329,zhengjiatun,43.5064,123.5064,13.15,67,95,5.39,CN,1731559475
330,murghob,38.1702,73.9667,-4.5,51,100,3.18,TJ,1731559476
331,kiama,-34.6833,150.8667,18.54,84,85,0.45,AU,1731559477
332,egilsstadir,65.2653,-14.3948,4.95,75,100,1.54,IS,1731559478
333,fortuna,40.5982,-124.1573,11.63,96,100,3.58,US,1731559479
334,bir hadaj,31.0263,34.7031,16.02,88,77,1.8,IL,1731559481
335,alotau,-10.3069,150.4462,29.77,66,100,2.99,PG,1731559482
336,bunbury,-33.3333,115.6333,25.95,48,55,7.05,AU,1731559483
337,wuwei,37.9281,102.6414,11.77,40,39,1.02,CN,1731559484
338,port-cartier,50.0334,-66.8654,-6.64,82,7,2.38,CA,1731559485
339,lautaro,-38.5167,-72.45,8.18,99,38,1.55,CL,1731559486
340,calbuco,-41.768,-73.1273,12.58,97,100,2.54,CL,1731559487
341,bartica,6.4,-58.6167,23.16,99,45,0.58,GY,1731559488
342,jacksonville beach,30.2947,-81.3931,23.36,68,0,5.14,US,1731559290
343,lorengau,-2.0226,147.2712,25.28,90,100,3.33,PG,1731559492
344,pathein,16.7833,94.7333,29.94,69,7,2.51,MM,1731559493
345,northam,51.0333,-4.2167,12.01,95,98,3.31,GB,1731559494
346,mount isa,-20.7333,139.5,38.87,15,20,4.12,AU,1731559495
347,kruisfontein,-34.0033,24.7314,14.56,79,76,2.68,ZA,1731559496
348,birpur,26.5167,87.0167,27.22,44,0,2.04,IN,1731559490
349,lazaro cardenas,17.9583,-102.2,24.88,84,65,1.96,MX,1731559499
350,klyuchi,52.2667,79.1667,-8.96,85,100,6.92,RU,1731559501
351,sovetskiy,61.3614,63.5842,-10.59,93,100,3.97,RU,1731559502
352,dawesville,30.9224,-84.0091,19.09,85,75,4.63,US,1731559503
353,bogande,12.9714,-0.1436,24.93,30,50,3.72,BF,1731559504
354,carahue,-38.7,-73.1667,12.09,97,76,1.26,CL,1731559505
355,doka,13.5167,35.7667,26.05,50,6,3.2,SD,1731559506
356,okha,53.5739,142.9478,-2.17,79,57,5.46,RU,1731559508
357,kakching,24.4833,93.9833,24.31,57,0,1.55,IN,1731559509
358,panaba,21.2833,-88.2667,23.94,93,7,2.2,MX,1731559513
359,krasnyy chikoy,50.3643,108.7512,-5.47,77,41,1.07,RU,1731559514
360,neiafu,-18.65,-173.9833,26.38,78,40,5.66,TO,1731559515
361,chifeng,42.2683,118.9636,14.17,41,7,3.16,CN,1731559516
362,cromwell,41.5951,-72.6454,2.22,58,0,1.54,US,1731559507
